incident_id,latitude,longitude,road_type,road_name,total_lanes,lanes_blocked,incident_type,severity_factor,hour,minute,day_of_week,day_of_week_name,month,duration_minutes,timestamp,impact_score,priority,clf,tvf,tf,lf,isf,predicted_queue_km,predicted_vhl,predicted_recovery_min,cluster
INC-0052,6.77815,79.983919,tertiary,Weediyagoda Road,2,1,flat_tire,0.3,18,46,3,Thursday,6,20,2026-06-28T18:46:00,5.6,HIGH,0.5,0.55,1.0,0.35,0.3,1.25,18.8,15.0,15
INC-0053,6.877427,79.869519,primary,Havelock Road,2,1,accident_minor,0.5,18,3,1,Tuesday,7,51,2026-07-07T18:03:00,7.2,HIGH,0.5,0.85,1.0,0.7,0.5,3.75,84.4,22.5,9
INC-0054,6.927373,79.844173,trunk,Galle Face Centre Road,2,1,accident_minor,0.5,18,54,0,Monday,2,41,2026-02-07T18:54:00,7.5,HIGH,0.5,0.9,1.0,0.85,0.5,5.62,126.6,22.5,10
INC-0055,6.804029,79.937601,residential,Unknown,2,1,flat_tire,0.3,8,23,1,Tuesday,8,38,2026-08-22T08:23:00,4.9,MEDIUM,0.5,0.4,1.0,0.15,0.3,0.62,9.4,15.0,-1
INC-0056,6.938883,80.165332,trunk,High Level Road,2,1,accident_minor,0.5,17,34,1,Tuesday,8,47,2026-08-14T17:34:00,7.3,HIGH,0.5,0.855,0.95,0.85,0.5,5.06,113.9,180.0,-1
INC-0057,6.906869,79.897208,tertiary,Park Lane,2,1,engine_failure,0.7,17,20,2,Wednesday,7,84,2026-07-16T17:20:00,6.0,HIGH,0.5,0.522,0.95,0.35,0.7,2.25,67.5,180.0,11
INC-0058,6.848773,79.93416,tertiary,Temple Road,2,1,battery_dead,0.3,7,18,3,Thursday,12,30,2026-12-18T07:18:00,4.9,MEDIUM,0.5,0.44,0.8,0.35,0.3,0.62,7.8,37.5,-1
INC-0059,6.795831,80.052808,secondary,Kottawa Thalagala Road,2,1,fuel_empty,0.2,10,41,5,Saturday,3,17,2026-03-23T10:41:00,3.6,MEDIUM,0.5,0.252,0.36,0.5,0.2,0.0,0.0,0.0,-1
INC-0060,6.942123,80.19673,trunk,High Level Road,2,1,fuel_empty,0.2,10,52,1,Tuesday,4,26,2026-04-26T10:52:00,5.4,HIGH,0.5,0.54,0.6,0.85,0.2,0.5,5.0,5.0,-1
INC-0061,6.930696,79.879219,residential,Unknown,2,1,flat_tire,0.3,19,55,6,Sunday,7,45,2026-07-17T19:55:00,2.8,LOW,0.5,0.12,0.3,0.15,0.3,0.0,0.0,0.0,-1
INC-0062,6.908826,80.081971,primary,Avissawella Road(Colombo-Hanwella Low Level Road),2,2,accident_major,1.0,11,8,0,Monday,11,123,2026-11-14T11:08:00,7.3,HIGH,1.0,0.468,0.55,0.7,1.0,11.0,660.0,146.7,-1
INC-0063,6.876764,79.867179,primary,W. A. Silva Mawatha (High Street),2,1,accident_minor,0.5,8,22,4,Friday,6,44,2026-06-18T08:22:00,7.2,HIGH,0.5,0.85,1.0,0.7,0.5,3.75,84.4,22.5,9
INC-0064,6.820437,80.006341,tertiary,Temple Road,2,1,flat_tire,0.3,11,37,5,Saturday,7,42,2026-07-21T11:37:00,3.3,MEDIUM,0.5,0.182,0.33,0.35,0.3,0.0,0.0,0.0,-1
INC-0065,6.80674,79.984481,motorway,Southern Expressway,2,1,flat_tire,0.3,19,5,4,Friday,2,54,2026-02-12T19:05:00,6.5,HIGH,0.5,0.712,0.75,1.0,0.3,2.29,34.4,30.0,-1
INC-0066,6.844785,79.979487,motorway,Outer Circular Highway,2,1,battery_dead,0.3,11,57,2,Wednesday,2,23,2026-02-28T11:57:00,5.6,HIGH,0.5,0.522,0.55,1.0,0.3,0.38,4.8,2.8,12
INC-0067,6.938195,79.878308,trunk,Dr. Danister de Silva Mawatha (Baseline Road),3,1,flat_tire,0.3,7,50,1,Tuesday,5,42,2026-05-11T07:50:00,6.0,HIGH,0.333,0.72,0.8,0.85,0.3,1.0,15.0,20.0,21
INC-0068,6.879907,80.086365,trunk,High Level Road,1,1,engine_failure,0.7,15,33,2,Wednesday,8,44,2026-08-22T15:33:00,7.6,HIGH,1.0,0.585,0.65,0.85,0.7,9.75,292.5,111.4,-1
INC-0069,6.916359,79.850445,primary,Sri Uttarananda Mawatha,2,1,accident_minor,0.5,9,46,1,Tuesday,3,79,2026-03-20T09:46:00,6.6,HIGH,0.5,0.722,0.85,0.7,0.5,2.62,59.1,105.0,13
INC-0070,6.766115,79.922357,tertiary,Dampe Road,2,1,engine_failure,0.7,18,52,2,Wednesday,8,58,2026-08-17T18:52:00,6.2,HIGH,0.5,0.55,1.0,0.35,0.7,2.5,75.0,30.0,-1
INC-0071,6.878026,79.877525,trunk,High Level Road,2,2,accident_major,1.0,16,24,1,Tuesday,3,80,2026-03-18T16:24:00,8.7,CRITICAL,1.0,0.72,0.8,0.85,1.0,15.0,1440.0,180.0,14
INC-0072,6.928254,79.868117,secondary,Sri Vajiragnana Mawatha (Dematagoda Road),2,1,accident_minor,0.5,10,43,4,Friday,1,57,2026-01-17T10:43:00,5.0,HIGH,0.5,0.42,0.6,0.5,0.5,0.5,11.2,11.2,-1
INC-0073,6.9391,79.855756,tertiary,Dam Street,2,1,engine_failure,0.7,8,15,5,Saturday,8,75,2026-08-21T08:15:00,4.8,MEDIUM,0.5,0.33,0.6,0.35,0.7,0.5,15.0,15.0,23
INC-0074,6.88088,80.109543,unclassified,Unknown,2,1,overheating,0.5,19,11,1,Tuesday,10,56,2026-10-09T19:11:00,4.7,MEDIUM,0.5,0.375,0.75,0.2,0.5,0.56,11.1,40.0,-1
INC-0075,6.953407,79.891937,primary,Ambatale Road,2,1,flat_tire,0.3,17,6,6,Sunday,10,23,2026-10-21T17:06:00,4.3,MEDIUM,0.5,0.323,0.38,0.7,0.3,0.0,0.0,0.0,-1
INC-0076,6.788734,80.108931,tertiary,Malagala Road,2,1,fuel_empty,0.2,8,7,6,Sunday,7,17,2026-07-18T08:07:00,3.4,MEDIUM,0.5,0.22,0.4,0.35,0.2,0.0,0.0,0.0,-1
INC-0077,6.849892,79.880129,primary,Nikape Road (Dehiwela-Maharagama Road),2,1,flat_tire,0.3,13,58,5,Saturday,1,26,2026-01-14T13:58:00,4.2,MEDIUM,0.5,0.306,0.36,0.7,0.3,0.0,0.0,0.0,-1
INC-0078,6.894065,79.86173,trunk,Sri Sambuddhatwa Jayanthi Mawatha (Havelock Road),4,1,flat_tire,0.3,17,39,2,Wednesday,7,27,2026-07-12T17:39:00,6.4,HIGH,0.25,0.855,0.95,0.85,0.3,1.5,22.5,120.0,-1
INC-0079,6.89522,79.857073,trunk,R. A. de Mel Mawatha,2,1,fuel_empty,0.2,15,21,1,Tuesday,2,11,2026-02-01T15:21:00,5.6,HIGH,0.5,0.585,0.65,0.85,0.2,0.75,7.5,8.6,-1
INC-0080,6.908345,79.893533,trunk,Rajagiriya Flyover,2,1,flat_tire,0.3,19,29,0,Monday,2,35,2026-02-03T19:29:00,6.2,HIGH,0.5,0.675,0.75,0.85,0.3,1.88,28.1,30.0,11
INC-0081,6.878259,79.935001,secondary,Pannipitiya Road,2,1,flat_tire,0.3,6,48,2,Wednesday,5,25,2026-05-12T06:48:00,4.1,MEDIUM,0.5,0.315,0.45,0.5,0.3,0.0,0.0,0.0,-1
INC-0082,6.912724,80.106491,tertiary,Unknown,1,1,engine_failure,0.7,18,29,0,Monday,8,86,2026-08-18T18:29:00,7.5,HIGH,1.0,0.55,1.0,0.35,0.7,5.0,150.0,30.0,-1
INC-0083,6.824749,79.882896,secondary,Attidiya Road,2,1,flat_tire,0.3,6,0,5,Saturday,9,20,2026-09-15T06:00:00,3.5,MEDIUM,0.5,0.189,0.27,0.5,0.3,0.0,0.0,0.0,-1
INC-0084,6.957029,79.877839,primary,Madampitiya Road,2,1,overheating,0.5,18,42,3,Thursday,7,48,2026-07-24T18:42:00,7.2,HIGH,0.5,0.85,1.0,0.7,0.5,3.33,66.7,20.0,-1
INC-0085,6.785539,79.968789,tertiary,Old Road,2,1,accident_minor,0.5,19,33,1,Tuesday,4,47,2026-04-04T19:33:00,5.1,HIGH,0.5,0.413,0.75,0.35,0.5,0.94,21.1,45.0,-1
INC-0086,6.94029,80.195393,trunk,High Level Road,2,1,accident_minor,0.5,14,9,0,Monday,9,51,2026-09-26T14:09:00,5.6,HIGH,0.5,0.495,0.55,0.85,0.5,0.56,12.7,5.0,-1
INC-0087,6.806322,80.100265,tertiary,Malagala Road,2,1,overheating,0.5,18,4,0,Monday,7,47,2026-07-17T18:04:00,5.9,HIGH,0.5,0.55,1.0,0.35,0.5,1.67,33.3,20.0,-1
INC-0088,6.859168,80.14528,unclassified,Unknown,2,1,engine_failure,0.7,14,17,4,Friday,8,104,2026-08-03T14:17:00,4.4,MEDIUM,0.5,0.275,0.55,0.2,0.7,0.17,5.0,6.7,-1
INC-0089,6.783824,79.981864,primary,Colombo - Horana Road,2,1,flat_tire,0.3,8,46,0,Monday,4,10,2026-04-14T08:46:00,6.9,HIGH,0.5,0.85,1.0,0.7,0.3,2.5,37.5,15.0,15
INC-0090,6.872529,79.957602,secondary,Malabe-Kottawa Road,2,1,engine_failure,0.7,13,2,6,Sunday,12,44,2026-12-10T13:02:00,4.0,MEDIUM,0.5,0.168,0.24,0.5,0.7,0.0,0.0,0.0,-1
INC-0091,6.858779,79.898301,secondary,Old Kesbawa Road,2,2,accident_major,1.0,15,58,1,Tuesday,12,111,2026-12-15T15:58:00,7.2,HIGH,1.0,0.455,0.65,0.5,1.0,8.67,520.0,180.0,-1
INC-0092,6.866084,79.923706,secondary,Temple Road,2,1,accident_minor,0.5,21,47,4,Friday,5,46,2026-05-13T21:47:00,3.9,MEDIUM,0.5,0.21,0.3,0.5,0.5,0.0,0.0,0.0,-1
INC-0093,6.823008,80.01414,living_street,Unknown,2,1,accident_minor,0.5,13,28,5,Saturday,3,59,2026-03-24T13:28:00,3.1,MEDIUM,0.5,0.108,0.36,0.1,0.5,0.0,0.0,0.0,-1
INC-0094,6.875362,79.893855,residential,Cooray Place,2,1,fuel_empty,0.2,14,15,4,Friday,1,20,2026-01-27T14:15:00,3.4,MEDIUM,0.5,0.22,0.55,0.15,0.2,0.04,0.4,2.2,18
INC-0095,6.905084,79.924964,primary,Kaduwela Road (New Kandy Road),2,2,accident_major,1.0,19,24,6,Sunday,4,113,2026-04-27T19:24:00,6.3,HIGH,1.0,0.255,0.3,0.7,1.0,6.0,360.0,51.4,-1
INC-0096,6.90631,80.033553,secondary,Habarakada-Ranala Road,2,1,engine_failure,0.7,18,30,0,Monday,2,62,2026-02-14T18:30:00,6.8,HIGH,0.5,0.7,1.0,0.5,0.7,3.33,100.0,30.0,-1
INC-0097,6.899359,79.97936,motorway,Outer Circular Highway,2,1,engine_failure,0.7,8,12,3,Thursday,1,73,2026-01-09T08:12:00,8.2,CRITICAL,0.5,0.95,1.0,1.0,0.7,9.17,275.0,30.0,-1
INC-0098,6.859697,79.977737,motorway,Outer Circular Highway,2,1,accident_minor,0.5,18,5,1,Tuesday,7,26,2026-07-10T18:05:00,7.9,HIGH,0.5,0.95,1.0,1.0,0.5,6.88,154.7,22.5,16
INC-0099,6.821102,79.980277,secondary,Kottawa-Thalagala Road,2,1,battery_dead,0.3,11,14,6,Sunday,6,28,2026-06-04T11:14:00,3.3,MEDIUM,0.5,0.154,0.22,0.5,0.3,0.0,0.0,0.0,-1
INC-0100,6.878723,79.856753,primary,Marine Drive,4,2,accident_major,1.0,13,21,3,Thursday,11,98,2026-11-18T13:21:00,6.3,HIGH,0.5,0.51,0.6,0.7,1.0,2.0,120.0,30.0,-1
INC-0101,6.818253,80.033925,secondary,Pitipana-Thalagala Road,2,1,overheating,0.5,21,35,3,Thursday,4,58,2026-04-12T21:35:00,3.9,MEDIUM,0.5,0.21,0.3,0.5,0.5,0.0,0.0,0.0,-1
INC-0102,6.853944,80.142227,unclassified,Unknown,2,2,accident_major,1.0,12,45,2,Wednesday,4,117,2026-04-17T12:45:00,6.4,HIGH,1.0,0.325,0.65,0.2,1.0,4.33,260.0,180.0,-1
INC-0103,6.841279,79.987286,residential,Shanthi Mawatha,2,1,battery_dead,0.3,15,28,4,Friday,4,21,2026-04-02T15:28:00,3.9,MEDIUM,0.5,0.26,0.65,0.15,0.3,0.16,2.0,10.7,-1
INC-0104,6.948179,79.90765,primary,Ambatale Road,2,1,battery_dead,0.3,21,55,2,Wednesday,5,22,2026-05-15T21:55:00,4.0,MEDIUM,0.5,0.255,0.3,0.7,0.3,0.0,0.0,0.0,-1
INC-0105,6.962638,80.199386,residential,Unknown,2,1,accident_minor,0.5,11,56,2,Wednesday,11,57,2026-11-01T11:56:00,3.9,MEDIUM,0.5,0.22,0.55,0.15,0.5,0.09,2.1,5.0,-1
INC-0106,6.795805,79.888212,trunk,Galle Road,3,1,flat_tire,0.3,19,23,2,Wednesday,12,37,2026-12-16T19:23:00,5.7,HIGH,0.333,0.675,0.75,0.85,0.3,0.62,9.4,10.0,-1
INC-0107,6.904594,79.96134,primary,Kaduwela Road (New Kandy Road),2,1,flat_tire,0.3,8,28,4,Friday,11,34,2026-11-14T08:28:00,6.9,HIGH,0.5,0.85,1.0,0.7,0.3,2.5,37.5,15.0,-1
INC-0108,6.840783,79.874742,living_street,Unknown,2,1,overheating,0.5,8,14,2,Wednesday,7,36,2026-07-17T08:14:00,4.9,MEDIUM,0.5,0.3,1.0,0.1,0.5,0.42,8.3,20.0,1
INC-0109,6.804112,79.984049,motorway,Southern Expressway,2,1,flat_tire,0.3,15,47,2,Wednesday,6,16,2026-06-22T15:47:00,6.0,HIGH,0.5,0.617,0.65,1.0,0.3,1.38,20.6,12.9,-1
INC-0110,6.814584,79.980421,residential,Unknown,2,1,overheating,0.5,8,20,0,Monday,2,63,2026-02-14T08:20:00,5.2,HIGH,0.5,0.4,1.0,0.15,0.5,0.83,16.7,20.0,-1
INC-0111,6.836999,79.981807,motorway,Southern Expressway,2,2,accident_major,1.0,17,24,5,Saturday,6,85,2026-06-09T17:24:00,8.0,CRITICAL,1.0,0.541,0.57,1.0,1.0,15.0,1254.0,114.2,12
INC-0112,6.860757,79.860586,tertiary,Fraser Avenue,2,1,flat_tire,0.3,22,31,0,Monday,6,29,2026-06-22T22:31:00,2.7,LOW,0.5,0.083,0.15,0.35,0.3,0.0,0.0,0.0,7
INC-0113,6.798181,79.924738,residential,Unknown,2,1,engine_failure,0.7,18,49,1,Tuesday,2,55,2026-02-01T18:49:00,5.5,HIGH,0.5,0.4,1.0,0.15,0.7,1.25,37.5,30.0,-1
INC-0114,6.85174,80.074059,unclassified,Unknown,2,1,flat_tire,0.3,11,1,6,Sunday,10,29,2026-10-14T11:01:00,2.7,LOW,0.5,0.11,0.22,0.2,0.3,0.0,0.0,0.0,-1
INC-0115,6.912757,79.942213,living_street,Unknown,2,1,fuel_empty,0.2,6,43,0,Monday,11,30,2026-11-03T06:43:00,2.9,LOW,0.5,0.135,0.45,0.1,0.2,0.0,0.0,0.0,-1
INC-0116,6.823346,79.870763,trunk,Galle Road,3,1,accident_minor,0.5,9,11,5,Saturday,2,63,2026-02-28T09:11:00,5.0,HIGH,0.333,0.459,0.51,0.85,0.5,0.0,0.0,0.0,-1
INC-0117,6.878772,80.086701,trunk,High Level Road,1,1,engine_failure,0.7,18,6,4,Friday,4,97,2026-04-06T18:06:00,9.1,CRITICAL,1.0,0.9,1.0,0.85,0.7,15.0,450.0,30.0,-1
