Q1_intent,Q2_engine_start,Q2b_running_issue,Q3_sound,Q3b_electrical,Q4_noise_detail,Q7_overheat_detail,Q8_smoke_color,Q_brake_detail,Q_gear_detail,Q6_smells,Q5_lights,Q9_recent,recent_rain,parked_overnight,last_fueled,vehicle_make,fuel_type,service_type,source
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,ALL_DEAD_NO_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""HARD_START""]",NONE,OUTDOOR,WITHIN_WEEK,Hyundai,PETROL,BATTERY_JUMP,real
WONT_START,STARTS_BUT_ISSUE,STALLING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""CHECK_ENGINE""]","[""NO_SIGNS""]",NONE,OUTDOOR,TODAY_NEW_STATION,Mazda,PETROL,FUEL_FILTER_CLOGGED,real
WONT_START,STARTS_BUT_ISSUE,NOISE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,BURNING_ELECTRICAL,"[""BATTERY"", ""CHECK_ENGINE"", ""BRAKE""]","[""LOSS_OF_POWER"", ""NO_SIGNS""]",MONSOON,OUTDOOR,WITHIN_WEEK,Mitsubishi,DIESEL,ELECTRICAL_FAULT_RAIN,real
ENGINE_PROBLEM,STARTS_BUT_ISSUE,OVERHEATING,NOT_ASKED,NOT_ASKED,NOT_ASKED,TRAFFIC_ONLY,NOT_ASKED,NOT_ASKED,NOT_ASKED,SWEET,"[""TEMPERATURE""]","[""LOSS_OF_POWER""]",WITHIN_3_DAYS,INDOOR,WITHIN_WEEK,Toyota,PETROL,COOLANT_LOW,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,DIM_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""HARD_START""]",NONE,OUTDOOR,WITHIN_WEEK,Suzuki,PETROL,BATTERY_JUMP,real
ENGINE_PROBLEM,CRANKS_NO_START,NOT_ASKED,NORMAL_CRANKING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,FUEL_SMELL,"[""CHECK_ENGINE""]","[""LOSS_OF_POWER""]",NONE,OUTDOOR,TODAY_USUAL,Kia,PETROL,IGNITION_SYSTEM,real
GEAR_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,GRINDING,NO_SMELL,"[""CHECK_ENGINE""]","[""LOSS_OF_POWER"", ""NO_SIGNS""]",NONE,OUTDOOR,OVER_WEEK,Suzuki,PETROL,TRANSMISSION_ISSUE,real
WONT_START,CRANKS_NO_START,NOT_ASKED,WHIRRING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""CHECK_ENGINE""]","[""HARD_START""]",NONE,INDOOR,WITHIN_WEEK,Suzuki,PETROL,STARTER_MOTOR,real
WONT_START,STARTS_BUT_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""LIGHTS_FLICKER""]",YESTERDAY,OUTDOOR,WITHIN_WEEK,Nissan,DIESEL,BATTERY_JUMP,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,ALL_DEAD_NO_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""NO_SIGNS""]",NONE,OUTDOOR,TODAY_USUAL,Toyota,HYBRID,BATTERY_JUMP,real
ENGINE_PROBLEM,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BRAKE""]","[""UNUSUAL_NOISE"", ""NO_SIGNS""]",MONSOON,OUTDOOR,OVER_WEEK,Honda,HYBRID,BRAKE_PAD_WORN,real
ENGINE_PROBLEM,NO_CRANK,NOT_ASKED,NOT_ASKED,ALL_DEAD_NO_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY"", ""NONE""]","[""NO_SIGNS""]",WITHIN_3_DAYS,OUTDOOR,TODAY_NEW_STATION,Suzuki,PETROL,BATTERY_JUMP,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,ALL_DEAD_NO_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""HARD_START"", ""NO_SIGNS""]",NONE,OUTDOOR,WITHIN_WEEK,Toyota,HYBRID,BATTERY_JUMP,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,SOME_LIGHTS_ON,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""CHECK_ENGINE"", ""NONE""]","[""HARD_START"", ""NO_SIGNS""]",NONE,OUTDOOR,TODAY_USUAL,Toyota,HYBRID,STARTER_MOTOR,real
ENGINE_PROBLEM,NO_CRANK,NOT_ASKED,NOT_ASKED,ALL_DEAD_NO_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,BURNING_ELECTRICAL,"[""ABS""]","[""LIGHTS_FLICKER"", ""LOSS_OF_POWER""]",MONSOON,OUTDOOR,WITHIN_WEEK,Honda,HYBRID,ELECTRICAL_FAULT_RAIN,real
WONT_START,STARTS_BUT_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""HARD_START"", ""UNUSUAL_NOISE""]",NONE,INDOOR,WITHIN_WEEK,Mitsubishi,DIESEL,STARTER_MOTOR,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,DIM_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""HARD_START""]",YESTERDAY,INDOOR,OVER_WEEK,Nissan,PETROL,BATTERY_REPLACE,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,DIM_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY"", ""NONE""]","[""NO_SIGNS""]",NONE,OUTDOOR,TODAY_USUAL,Mazda,PETROL,BATTERY_JUMP,real
ENGINE_PROBLEM,NO_CRANK,NOT_ASKED,NOT_ASKED,SOME_LIGHTS_ON,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY"", ""CHECK_ENGINE""]","[""UNUSUAL_NOISE""]",YESTERDAY,OUTDOOR,WITHIN_WEEK,Hyundai,PETROL,STARTER_MOTOR,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,SOME_LIGHTS_ON,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""HARD_START"", ""NO_SIGNS""]",YESTERDAY,OUTDOOR,WITHIN_WEEK,Mazda,DIESEL,BATTERY_JUMP,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,DIM_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""CHECK_ENGINE"", ""TEMPERATURE""]","[""OVERHEATING_BEFORE""]",NONE,OUTDOOR,WITHIN_WEEK,Mitsubishi,DIESEL,SEVERE_MECHANICAL_TOW,real
ENGINE_PROBLEM,STARTS_BUT_ISSUE,OVERHEATING,NOT_ASKED,NOT_ASKED,NOT_ASKED,WITH_AC,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""TEMPERATURE"", ""NONE""]","[""OVERHEATING_BEFORE"", ""NO_SIGNS""]",NONE,INDOOR,OVER_WEEK,Kia,PETROL,RADIATOR_FAN_ISSUE,real
ENGINE_PROBLEM,STARTS_BUT_ISSUE,NOISE,NOT_ASKED,NOT_ASKED,SQUEAL,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,BURNING_OIL,"[""BATTERY"", ""TEMPERATURE""]","[""UNUSUAL_NOISE""]",NONE,INDOOR,OVER_WEEK,Nissan,PETROL,BELT_BROKEN,real
GEAR_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,WONT_ENGAGE,NO_SMELL,"[""CHECK_ENGINE"", ""SERVICE"", ""NONE""]","[""NO_SIGNS""]",YESTERDAY,INDOOR,WITHIN_WEEK,Toyota,PETROL,TRANSMISSION_ISSUE,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,DIM_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""LIGHTS_FLICKER""]",NONE,INDOOR,WITHIN_WEEK,Toyota,DIESEL,BATTERY_JUMP,real
BRAKE_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,SOFT_PEDAL,NOT_ASKED,BURNING_ELECTRICAL,"[""BRAKE"", ""NONE""]","[""UNUSUAL_NOISE"", ""NO_SIGNS""]",NONE,OUTDOOR,WITHIN_WEEK,Mazda,DIESEL,BRAKE_FAILURE,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,SOME_LIGHTS_ON,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""NO_SIGNS""]",MONSOON,OUTDOOR,TODAY_USUAL,Toyota,HYBRID,BATTERY_JUMP,real
ENGINE_PROBLEM,STARTS_NORMAL,OVERHEATING,NOT_ASKED,NOT_ASKED,NOT_ASKED,TRAFFIC_ONLY,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""TEMPERATURE""]","[""OVERHEATING_BEFORE""]",YESTERDAY,INDOOR,WITHIN_WEEK,Nissan,PETROL,COOLANT_LOW,real
ENGINE_PROBLEM,NO_CRANK,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,FUEL_SMELL,"[""CHECK_ENGINE""]","[""LOSS_OF_POWER"", ""UNUSUAL_NOISE""]",YESTERDAY,OUTDOOR,OVER_WEEK,Toyota,PETROL,IGNITION_SYSTEM,real
WEIRD_BEHAVIOR,STARTS_BUT_ISSUE,STALLING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""LOSS_OF_POWER""]",NONE,OUTDOOR,TODAY_NEW_STATION,Mazda,PETROL,FUEL_PUMP,real
ENGINE_PROBLEM,STARTS_BUT_ISSUE,NOISE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""UNUSUAL_NOISE""]",NONE,INDOOR,WITHIN_WEEK,Toyota,HYBRID,FUEL_FILTER_CLOGGED,real
ENGINE_PROBLEM,STARTS_BUT_ISSUE,OVERHEATING,NOT_ASKED,NOT_ASKED,NOT_ASKED,HILL_CLIMB,NOT_ASKED,NOT_ASKED,NOT_ASKED,SWEET,"[""TEMPERATURE""]","[""NO_SIGNS""]",NONE,OUTDOOR,TODAY_USUAL,Mitsubishi,DIESEL,RADIATOR_HOSE_LEAK,real
ENGINE_PROBLEM,STARTS_BUT_ISSUE,OVERHEATING,NOT_ASKED,NOT_ASKED,NOT_ASKED,ALWAYS,NOT_ASKED,NOT_ASKED,NOT_ASKED,BURNING_ELECTRICAL,"[""OIL"", ""TEMPERATURE""]","[""NO_SIGNS""]",WITHIN_3_DAYS,OUTDOOR,TODAY_NEW_STATION,Honda,HYBRID,ENGINE_OVERHEAT_SEVERE,real
ENGINE_PROBLEM,STARTS_BUT_ISSUE,NOISE,NOT_ASKED,NOT_ASKED,WHINE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""LIGHTS_FLICKER"", ""UNUSUAL_NOISE""]",WITHIN_3_DAYS,OUTDOOR,TODAY_USUAL,Mitsubishi,DIESEL,BELT_BROKEN,real
ENGINE_PROBLEM,CRANKS_NO_START,NOT_ASKED,NORMAL_CRANKING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,SWEET,"[""CHECK_ENGINE"", ""TEMPERATURE""]","[""OVERHEATING_BEFORE"", ""SMELL_BEFORE""]",WITHIN_3_DAYS,INDOOR,WITHIN_WEEK,Toyota,DIESEL,ENGINE_OVERHEAT_SEVERE,real
ENGINE_PROBLEM,STARTS_BUT_ISSUE,OVERHEATING,NOT_ASKED,NOT_ASKED,NOT_ASKED,TRAFFIC_ONLY,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""TEMPERATURE"", ""NONE""]","[""OVERHEATING_BEFORE""]",NONE,OUTDOOR,OVER_WEEK,Kia,PETROL,RADIATOR_FAN_ISSUE,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,DIM_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""HARD_START""]",NONE,INDOOR,OVER_WEEK,Honda,HYBRID,BATTERY_JUMP,real
GEAR_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,SLIPPING,BURNING_OIL,"[""NONE""]","[""LOSS_OF_POWER"", ""NO_SIGNS""]",NONE,OUTDOOR,WITHIN_WEEK,Kia,PETROL,CLUTCH_WORN,real
GEAR_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,SLIPPING,BURNING_OIL,"[""CHECK_ENGINE"", ""NONE""]","[""NO_SIGNS""]",WITHIN_3_DAYS,OUTDOOR,TODAY_NEW_STATION,Mitsubishi,DIESEL,CLUTCH_WORN,real
WEIRD_BEHAVIOR,NO_CRANK,NOT_ASKED,NOT_ASKED,ALL_DEAD_NO_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY"", ""CHECK_ENGINE""]","[""HARD_START""]",YESTERDAY,INDOOR,TODAY_USUAL,Toyota,DIESEL,ALTERNATOR_ISSUE,real
GEAR_ISSUE,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,WONT_ENGAGE,NO_SMELL,"[""CHECK_ENGINE"", ""SERVICE""]","[""LOSS_OF_POWER"", ""UNUSUAL_NOISE""]",YESTERDAY,OUTDOOR,OVER_WEEK,Toyota,PETROL,TRANSMISSION_ISSUE,real
WONT_START,STARTS_BUT_ISSUE,STALLING,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""LOSS_OF_POWER""]",NONE,OUTDOOR,TODAY_USUAL,Mazda,PETROL,ALTERNATOR_ISSUE,real
WEIRD_BEHAVIOR,STARTS_NORMAL,NOISE,NOT_ASKED,NOT_ASKED,SQUEAL,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""UNUSUAL_NOISE""]",NONE,OUTDOOR,OVER_WEEK,Mazda,PETROL,BELT_BROKEN,real
WONT_START,NO_CRANK,NOT_ASKED,NOT_ASKED,DIM_LIGHTS,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""NONE""]","[""HARD_START""]",NONE,INDOOR,WITHIN_WEEK,Hyundai,PETROL,STARTER_MOTOR,real
WONT_START,STARTS_BUT_ISSUE,NO_POWER,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NOT_ASKED,NO_SMELL,"[""BATTERY""]","[""NO_SIGNS""]",MONSOON,OUTDOOR,TODAY_USUAL,Suzuki,PETROL,ELECTRICAL_FAULT_RAIN,real
